,lung_120703455737772,lung_120797944565173,lung_120864470392101,lung_121276833323293,lung_121339884722485,lung_121339897047965,lung_121742703615326,lung_121812449905886,lung_121826155313891,lung_121879171586972,lung_121896114240934,lung_121955406436700,lung_121965741763364,lung_121965753882467,lung_122310443846067,lung_122310443849451,lung_122514723257780,lung_125042427128691,lung_125247350815068,lung_125677935389931,lung_126132141050213,lung_126227588798388,lung_126293980600108,lung_126294007139038,lung_126364088425395,lung_126765635942699,lung_126834206501283,lung_126835173222750,lung_126835192163611,lung_129582986114909,lung_129582999977204,lung_129978390755171,lung_130126433179883,lung_130126433344310,lung_130134888537515,lung_130134934677915,lung_130134934775534,lung_130144701462261,lung_130184147323235,lung_130185503821043,lung_130185516182238,lung_130531368061814,lung_130693115296606,lung_130754483964276,lung_131217381873388,lung_131242051132852,lung_131293502920926,lung_131309590173924,lung_131310502233966,lung_131310516821300,lung_133895282085294,lung_134041188887797,lung_134377538800357,lung_134522331846563,lung_134530788116404,lung_134592140529052,lung_134592152616286,lung_134936708148149,lung_135014240668005,lung_135064437284148,lung_135150516980532,lung_135571539183467,lung_155888882174821,lung_156463334549419,lung_156933486460150,lung_157004366240046,lung_157140462488949,lung_157536914958171,lung_157562565160179,lung_157684165929246,lung_160440058276636,lung_160447855742260,lung_160785145118051,lung_160928745769709,lung_160996537846628,lung_161340108228892,lung_161411779906990,lung_161411794655588,lung_161451926571875,lung_161451938539380,lung_161462694595997,lung_161548575918819,lung_161889623067566,lung_161890983394550,lung_161960476960604,lung_161960489859811,lung_164769504807862,lung_165232422312308,lung_165738987277723,lung_165851864648620,lung_165858459998516,lung_165860293068635,lung_165945535589219,lung_165945548160246,lung_166290878285670,lung_166400399403294,lung_166400399424749,lung_166416939674397,lung_169014053227307,lung_169022508120926,lung_169151740892894,lung_169723749579117,lung_169795584179422,lung_169795602541285,lung_170181075819811,lung_170198358476645,lung_170198389962598,lung_170258519473387,lung_170268049436020,lung_170276754147637,lung_170327461739307,lung_170327489039587,lung_170660053011691,lung_170745952652212,lung_170745966779315,lung_191210559231862,lung_191210578435302,lung_191553887656822,lung_191576436525812,lung_191645424478966,lung_191691433590197,lung_191708928337772,lung_192255431399206,lung_192255444020021,lung_192255462881701,lung_192306956102443,lung_192315305441654,lung_192653641079582,lung_192653667974387,lung_192729635208435,lung_192729635477366,lung_192745862751982,lung_192806944468189,lung_195562288405916,lung_195606477399902,lung_195623341935838,lung_195623342458804,lung_195958617888539,lung_195958632791403,lung_196043624278811,lung_196163883157861,lung_196174320940982,lung_196180775713203,lung_196638177114038,lung_196715499076957,lung_199865979263707,lung_199944393677021,lung_200348209428846,lung_200363927071003,lung_200416706545563,lung_200563790330269,lung_200899038735195,lung_200922553608947,lung_200974112079219,lung_201111654550308,lung_201465598764918,lung_201474322623406,lung_201670671063476,lung_204213425493811,lung_204224162884381,lung_204351804427502,lung_204360540641516,lung_204427100839326,lung_204816900307758,lung_204825309702579,lung_204825356359907,lung_204954158718236,lung_204954173139683,lung_205381657053102,lung_205527698265966,lung_205527698761436,lung_226205971364765,lung_226283249842421,lung_226283280592094,lung_226283280874396,lung_226394649774429,lung_226394682013998,lung_226806174203230,lung_226883188222197,lung_226901487906014,lung_226949760182646,lung_226949806345564,lung_226953398511388,lung_226958798351156,lung_227284928547741,lung_227363580140462,lung_227425427873188,lung_227425442260723,lung_227493119933292,lung_227846649232742,lung_227921630455643,lung_227921644861804,lung_227975332486373,lung_227982982670643,lung_227982995578077,lung_228042051074483,lung_230611649776860,lung_230732687075611,lung_230741410470238,lung_230799393311669,lung_230799420611891,lung_230799439218926,lung_231270811549083,lung_231340573408620,lung_231340586448686,lung_231692907957037,lung_231822802671523,lung_231890194722092,lung_231897723423645,lung_231907674479398,lung_232318617931171,lung_232321019661612,lung_232327488912163,lung_232327488915820,lung_232328313353972,lung_232450567072174,lung_235199318579619,lung_235214350530403,lung_235548446186331,lung_235601971791796,lung_235695817059229,lung_235697696295156,lung_236167177592156,lung_236176872204126,lung_236177511864749,lung_236288406906734,lung_236288407398702,lung_236633998636958,lung_236639623470003,lung_236650078059253,lung_236768055684005,lung_239382663129909,lung_239448249251622,lung_239458074683637,lung_239468531108571,lung_239475361430452,lung_239587849845165,lung_239587882035038,lung_240001509407467,lung_240136785616165,lung_240136800389486,lung_240490718055789,lung_240490764426083,lung_240617687730611,lung_241057653704621,lung_241098904426356
S100A9,0,3,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,2,9,0,0,0,0,0,0,5,0,4,8,2,2,1,1,0,16,3,0,0,0,9,0,0,0,1,2,0,1,0,0,5,1,1,0,0,1,2,1,0,0,0,2,0,0,1,4,0,1,0,1,0,2,1,0,1,0,0,0,14,0,4,2,0,3,0,0,0,0,0,1,1,0,0,339,0,0,4,0,0,0,7,0,1,0,1,0,1,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,242,0,1,0,1,0,0,0,0,0,0,5,1,1,1,0,1,0,0,13,0,0,2,1,0,0,0,9,0,3,0,0,6,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,2,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,596,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,0,0,0,1,1,1,0,0,4,0,0,0
YWHAE,0,0,10,3,9,1,5,0,2,0,3,0,0,1,0,3,2,6,8,1,4,0,4,0,0,22,2,4,7,0,2,3,3,9,2,1,0,7,3,2,6,10,1,0,18,2,0,13,0,21,1,0,2,4,1,2,7,0,4,19,2,9,1,0,5,12,0,1,8,3,14,0,0,3,11,4,2,1,3,1,15,6,1,1,11,1,1,10,0,4,5,1,6,0,0,0,1,1,4,36,2,10,4,0,3,19,6,4,0,6,0,3,1,7,0,8,1,2,12,2,0,6,4,1,3,3,3,3,2,4,0,7,5,0,2,12,6,14,0,1,0,1,7,0,0,0,0,6,4,24,10,3,1,0,0,0,1,23,3,3,4,4,2,0,1,9,7,3,0,0,8,0,7,8,6,4,2,1,16,0,1,0,6,1,1,6,1,4,0,9,2,0,4,1,1,3,3,1,1,2,2,1,1,6,3,6,4,8,4,11,6,1,2,1,0,2,1,4,3,0,0,3,0,1,0,1,1,3,2,7,16,1,3,15,0,0,2,3,5,17,2,4,5,1,1,1
RIOK3,0,1,0,0,3,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,0,1,1,1,0,1,1,2,0,0,5,0,0,3,0,2,0,1,1,0,0,3,0,0,1,5,0,5,0,1,0,0,0,0,0,0,3,0,0,1,3,0,1,0,1,0,1,1,1,0,1,0,0,2,1,1,1,0,5,0,0,0,0,0,1,4,2,1,1,0,0,0,1,2,0,1,1,1,0,1,1,2,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5,6,0,1,0,1,0,6,0,1,0,0,0,1,2,0,0,0,0,2,0,0,5,3,0,1,0,0,0,0,3,0,0,2,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0,2,0,0,0,0,0,2,0,1,1,1,0,1,2,0,0,0,0,0,0,0,4,0,1,3,0,0,0,3,1,3,2,0,4,0,0,0
CXCL17,0,30,24,0,44,2,7,0,25,0,0,0,0,0,0,0,3,19,20,0,0,0,0,0,0,12,0,43,49,0,0,14,0,14,0,0,0,1,1,9,103,121,16,0,99,20,0,27,0,174,2,0,17,0,2,17,52,0,0,34,1,69,0,1,52,60,1,0,0,0,33,0,2,179,45,0,0,1,0,0,126,0,0,5,7,0,0,27,1,0,31,0,37,4,1,1,1,0,6,29,0,0,28,0,5,49,0,0,0,135,0,7,0,28,0,30,0,0,13,1,0,88,0,0,0,0,0,49,26,19,0,23,15,1,0,40,37,48,9,0,0,0,18,7,0,1,0,1,0,61,52,18,24,0,12,0,0,43,11,0,13,26,13,1,3,45,1,26,0,0,44,0,4,57,0,0,0,0,66,4,0,0,61,0,0,11,0,1,0,0,0,0,0,0,0,45,0,0,0,3,0,0,0,24,3,0,20,88,1,29,0,14,0,0,0,13,0,0,0,0,0,56,0,0,0,0,5,0,2,1,33,0,11,47,0,0,0,51,12,56,0,3,4,6,0,0
SERPINA1,0,7,54,1,73,0,4,0,5,0,1,0,0,0,0,0,12,8,16,0,0,0,0,0,0,67,0,38,30,0,0,5,0,17,0,0,2,9,0,13,58,32,4,0,81,7,0,233,2,67,3,2,29,1,11,9,50,0,0,16,0,34,0,7,8,20,0,0,0,0,20,0,1,80,25,0,0,2,0,0,42,1,0,1,10,0,0,41,0,3,52,0,27,1,1,0,0,0,9,13,0,5,9,0,3,230,0,2,0,114,0,44,0,12,0,19,1,0,26,0,1,67,0,1,0,2,0,42,15,28,0,7,12,2,1,37,18,47,0,0,0,0,25,2,0,0,0,4,0,55,9,18,13,0,7,0,0,89,4,0,3,75,6,0,0,88,0,16,0,0,27,2,2,107,1,0,0,1,12,1,0,0,26,0,0,8,0,0,1,0,0,0,0,1,1,46,0,0,0,6,0,1,0,24,11,0,7,32,0,35,1,5,1,1,0,0,0,0,0,0,0,28,1,0,0,0,2,0,0,0,67,0,42,27,1,0,1,84,7,122,0,11,24,4,1,0
PARP1,0,4,0,0,5,0,0,0,2,0,0,0,0,0,0,2,0,1,2,1,2,0,3,1,0,4,2,1,3,0,0,2,0,1,1,2,0,3,1,0,4,2,0,0,1,3,0,1,0,1,0,0,1,0,0,2,1,0,0,1,1,2,1,1,0,3,0,0,3,0,3,0,0,0,2,0,1,0,0,0,8,1,0,1,2,1,0,0,0,0,2,0,4,1,0,0,0,0,0,3,1,3,0,0,0,3,0,0,0,2,0,1,0,0,0,2,3,0,2,1,0,2,0,0,2,0,0,1,3,1,0,2,0,0,0,3,1,2,2,0,0,0,3,0,0,0,0,0,1,12,5,0,0,1,0,0,0,1,1,0,0,4,2,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,1,2,3,0,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,6,4,1,2,0,0,0,1,4,6,1,0,2,0,0,1
EEF2,2,3,11,6,20,4,7,1,1,5,24,0,2,1,4,7,11,11,11,6,6,18,7,0,0,5,10,1,3,6,4,2,3,22,7,5,1,13,9,3,11,22,0,0,18,7,0,8,0,37,1,1,17,3,1,7,18,0,14,19,7,22,6,5,6,19,3,5,8,16,13,2,0,11,8,10,16,12,13,5,9,15,9,2,8,14,4,5,1,10,27,6,10,2,0,0,8,3,11,14,16,23,5,0,3,11,14,10,6,15,0,5,3,1,3,9,17,11,12,3,8,7,9,0,5,9,4,8,5,5,1,3,1,3,9,27,13,8,7,4,8,5,7,1,6,0,0,3,13,26,13,4,4,2,12,0,20,18,2,1,3,4,4,3,1,7,23,6,3,0,1,1,6,5,15,9,8,10,17,4,2,7,7,11,2,9,10,6,1,9,6,1,16,10,18,9,9,3,1,0,2,7,5,1,9,13,3,8,8,20,16,0,2,0,3,16,8,15,7,1,1,4,5,0,1,14,3,18,5,13,19,6,9,21,0,0,7,4,9,30,9,1,13,6,1,2
EEF1B2,2,4,18,16,37,1,7,0,1,3,35,1,3,3,1,3,11,16,20,2,6,16,12,0,0,33,2,10,5,18,5,3,9,30,7,11,0,23,13,1,16,26,6,0,41,1,0,17,1,52,1,1,9,3,5,2,21,0,6,49,7,27,6,2,13,33,2,11,14,7,19,2,0,24,17,2,6,11,12,2,36,18,1,0,3,8,3,15,2,20,44,6,11,8,0,1,3,6,7,26,5,23,4,0,6,47,11,13,5,52,0,17,0,7,3,16,19,4,17,0,3,6,5,0,10,4,8,32,17,5,2,17,3,3,8,32,27,19,7,1,11,8,12,1,8,2,0,5,11,49,27,3,6,6,12,0,6,58,4,2,1,6,24,1,2,22,41,4,1,1,8,1,4,14,29,2,1,0,42,2,3,3,7,5,0,12,12,8,1,12,6,0,28,8,4,9,8,1,1,1,1,2,12,5,2,15,10,17,18,38,10,1,9,1,2,13,5,18,8,0,5,13,5,1,2,12,7,11,1,22,38,6,26,29,0,1,9,3,6,51,9,5,19,0,4,4
RPL35,3,4,40,23,59,1,11,6,9,14,22,1,4,12,16,16,5,34,33,7,31,33,34,6,1,45,14,28,12,29,17,7,22,31,19,25,1,40,35,14,48,30,4,1,83,11,1,24,5,90,2,1,13,14,13,14,45,0,16,73,35,56,18,6,15,44,6,22,28,13,49,5,0,27,56,10,15,32,22,9,54,27,23,4,16,12,16,25,1,66,56,11,33,14,0,0,8,8,28,69,17,66,16,0,9,64,33,20,6,47,0,31,11,23,9,34,22,5,38,7,4,34,19,2,38,25,25,35,19,19,3,41,5,0,27,32,40,41,11,5,19,16,33,2,19,1,4,12,44,96,36,8,6,8,27,1,11,94,9,5,13,14,30,9,2,21,39,9,5,0,25,1,13,24,51,21,12,13,84,0,10,12,25,12,2,31,19,15,2,46,14,0,48,26,26,30,17,1,4,1,9,15,18,12,11,43,39,21,25,42,23,1,21,1,7,39,8,25,16,1,6,17,22,12,3,20,5,16,8,32,79,29,30,66,2,1,20,14,29,63,24,10,54,1,7,16
OLFML3,0,0,1,0,0,0,0,0,1,0,1,0,0,6,0,2,0,0,1,1,1,0,3,0,0,0,1,7,4,0,0,0,1,0,2,2,0,5,1,7,5,9,4,0,0,1,0,0,0,22,0,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,3,1,0,0,0,7,0,0,1,0,0,0,2,3,1,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,12,0,11,0,0,0,0,1,1,0,0,0,17,0,0,1,0,6,0,1,1,0,0,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,3,3,0,0,0,1,0,4,1,0,1,1,0,0,0,2,2,0,0,1,0,0,1,11,1,0,1,0,0,0,0,4,1,0,0,1,1,1,1,2,0,4,2,1,4,0,0,0,0,0,0,0,3,0,0,0,21,2,4,2,0,1,0,0,0,0,5,0,0,0,2,0,0,0,2,0,4,2,7,0,3,0,0,0,0,1,8,0,0,1,4,0,0,5,0
